,game_date,game_pk,at_bat_number,pitch_number,balls,strikes,pitch_type,pitch_name,type,effective_speed,zone,events,description,bb_type,hit_distance_sc,launch_speed,launch_angle,stand,p_throws,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,id_ab,is_filt_pitch,is_filt_desc,is_filt_event,is_filt_any,pitch_type_prev,pitch_name_prev,type_prev
720997,2017-04-02,490099.0,57.0,2.0,1.0,0.0,SI,Sinker,B,89.8,14.0,,ball,,,,,R,R,,,,,,490099.057.0,0,0,0,0,CU,Curveball,B
720996,2017-04-02,490099.0,57.0,3.0,2.0,0.0,SI,Sinker,X,91.5,5.0,single,hit_into_play,ground_ball,69.0,97.9,3.0,R,R,0.473,0.469,0.9,1.0,1.0,490099.057.0,0,0,0,0,SI,Sinker,B
720995,2017-04-02,490099.0,58.0,1.0,0.0,0.0,SI,Sinker,B,92.1,14.0,,ball,,,,,L,R,,,,,,490099.058.0,0,0,0,0,,,
720994,2017-04-02,490099.0,58.0,2.0,1.0,0.0,CH,Changeup,S,84.5,9.0,,foul,,,,,L,R,,,,,,490099.058.0,0,0,0,0,SI,Sinker,B
720993,2017-04-02,490099.0,58.0,3.0,1.0,1.0,CH,Changeup,S,83.6,7.0,,foul,,,,,L,R,,,,,,490099.058.0,0,0,0,0,CH,Changeup,S
720992,2017-04-02,490099.0,58.0,4.0,1.0,2.0,FF,4-Seam Fastball,X,93.7,2.0,field_out,hit_into_play,popup,,80.0,69.0,L,R,0.0,0.0,0.0,1.0,0.0,490099.058.0,0,0,0,0,CH,Changeup,S
720991,2017-04-02,490099.0,59.0,1.0,0.0,0.0,SI,Sinker,X,94.5,4.0,single,hit_into_play,ground_ball,127.0,106.8,6.0,R,R,0.68,0.635,0.9,1.0,1.0,490099.059.0,0,0,0,0,,,
720983,2017-04-02,490099.0,61.0,1.0,0.0,0.0,FC,Cutter,B,85.1,14.0,,ball,,,,,R,R,,,,,,490099.061.0,0,0,0,0,,,
720982,2017-04-02,490099.0,61.0,2.0,1.0,0.0,FC,Cutter,B,82.3,14.0,,blocked_ball,,,,,R,R,,,,,,490099.061.0,0,0,0,0,FC,Cutter,B
720981,2017-04-02,490099.0,61.0,3.0,2.0,0.0,FF,4-Seam Fastball,S,90.0,1.0,,foul,,,,,R,R,,,,,,490099.061.0,0,0,0,0,FC,Cutter,B
720980,2017-04-02,490099.0,61.0,4.0,2.0,1.0,FC,Cutter,X,83.4,9.0,field_out,hit_into_play,fly_ball,212.0,82.5,53.0,R,R,0.033,0.044,0.0,1.0,0.0,490099.061.0,0,0,0,0,FF,4-Seam Fastball,S
720979,2017-04-02,490099.0,62.0,1.0,0.0,0.0,FF,4-Seam Fastball,B,89.3,14.0,,ball,,,,,L,R,,,,,,490099.062.0,0,0,0,0,,,
720978,2017-04-02,490099.0,62.0,2.0,1.0,0.0,FF,4-Seam Fastball,S,90.1,5.0,,called_strike,,,,,L,R,,,,,,490099.062.0,0,0,0,0,FF,4-Seam Fastball,B
720977,2017-04-02,490099.0,62.0,3.0,1.0,1.0,FF,4-Seam Fastball,X,89.8,12.0,field_out,hit_into_play,fly_ball,290.0,82.1,39.0,L,R,0.0,0.0,0.0,1.0,0.0,490099.062.0,0,0,0,0,FF,4-Seam Fastball,S
720976,2017-04-02,490099.0,63.0,1.0,0.0,0.0,SL,Slider,B,82.1,3.0,,ball,,,,,R,R,,,,,,490099.063.0,0,0,0,0,,,
720975,2017-04-02,490099.0,63.0,2.0,1.0,0.0,SL,Slider,S,82.2,9.0,,called_strike,,,,,R,R,,,,,,490099.063.0,0,0,0,0,SL,Slider,B
720974,2017-04-02,490099.0,63.0,3.0,1.0,1.0,SL,Slider,S,83.6,14.0,,swinging_strike,,,,,R,R,,,,,,490099.063.0,0,0,0,0,SL,Slider,S
720973,2017-04-02,490099.0,63.0,4.0,1.0,2.0,SI,Sinker,B,93.8,13.0,,ball,,,,,R,R,,,,,,490099.063.0,0,0,0,0,SL,Slider,S
720972,2017-04-02,490099.0,63.0,5.0,2.0,2.0,SL,Slider,S,82.0,13.0,,foul,,,,,R,R,,,,,,490099.063.0,0,0,0,0,SI,Sinker,B
720971,2017-04-02,490099.0,63.0,6.0,2.0,2.0,SL,Slider,B,82.9,2.0,,ball,,,,,R,R,,,,,,490099.063.0,0,0,0,0,SL,Slider,S
720970,2017-04-02,490099.0,63.0,7.0,3.0,2.0,SL,Slider,B,81.9,11.0,walk,ball,,,,,R,R,,,0.7,1.0,0.0,490099.063.0,0,0,0,0,SL,Slider,B
720969,2017-04-02,490099.0,64.0,1.0,0.0,0.0,FF,4-Seam Fastball,X,94.9,6.0,field_out,hit_into_play,popup,,80.0,69.0,L,R,0.0,0.0,0.0,1.0,0.0,490099.064.0,0,0,0,0,,,
720968,2017-04-02,490099.0,65.0,1.0,0.0,0.0,SI,Sinker,S,94.6,4.0,,foul,,,,,R,R,,,,,,490099.065.0,0,0,0,0,,,
720967,2017-04-02,490099.0,65.0,2.0,0.0,1.0,FF,4-Seam Fastball,S,95.1,6.0,,foul_tip,,,,,R,R,,,,,,490099.065.0,0,0,0,0,SI,Sinker,S
720966,2017-04-02,490099.0,65.0,3.0,0.0,2.0,FF,4-Seam Fastball,X,95.9,6.0,home_run,hit_into_play,line_drive,391.0,104.9,23.0,R,R,0.96,1.74,2.0,1.0,0.0,490099.065.0,0,0,0,0,FF,4-Seam Fastball,S
720965,2017-04-02,490099.0,66.0,1.0,0.0,0.0,SL,Slider,S,83.1,9.0,,swinging_strike,,,,,L,R,,,,,,490099.066.0,0,0,0,0,,,
720964,2017-04-02,490099.0,66.0,2.0,0.0,1.0,SL,Slider,B,82.8,14.0,,ball,,,,,L,R,,,,,,490099.066.0,0,0,0,0,SL,Slider,S
720963,2017-04-02,490099.0,66.0,3.0,1.0,1.0,SI,Sinker,B,93.6,11.0,,ball,,,,,L,R,,,,,,490099.066.0,0,0,0,0,SL,Slider,B
720962,2017-04-02,490099.0,66.0,4.0,2.0,1.0,SI,Sinker,B,94.1,13.0,,ball,,,,,L,R,,,,,,490099.066.0,0,0,0,0,SI,Sinker,B
720961,2017-04-02,490099.0,66.0,5.0,3.0,1.0,SL,Slider,B,82.7,14.0,walk,ball,,,,,L,R,,,0.7,1.0,0.0,490099.066.0,0,0,0,0,SI,Sinker,B
720960,2017-04-02,490099.0,67.0,1.0,0.0,0.0,FF,4-Seam Fastball,B,94.4,14.0,,ball,,,,,L,R,,,,,,490099.067.0,0,0,0,0,,,
720959,2017-04-02,490099.0,67.0,2.0,1.0,0.0,SI,Sinker,X,94.6,4.0,force_out,hit_into_play,ground_ball,15.0,80.6,-8.0,L,R,0.113,0.105,0.0,1.0,0.0,490099.067.0,0,0,0,0,FF,4-Seam Fastball,B
720958,2017-04-02,490099.0,68.0,1.0,0.0,0.0,SI,Sinker,B,94.4,13.0,,blocked_ball,,,,,R,R,,,,,,490099.068.0,0,0,0,0,,,
720957,2017-04-02,490099.0,68.0,2.0,1.0,0.0,SL,Slider,S,81.9,14.0,,swinging_strike,,,,,R,R,,,,,,490099.068.0,0,0,0,0,SI,Sinker,B
720956,2017-04-02,490099.0,68.0,3.0,1.0,1.0,SL,Slider,S,81.8,14.0,,swinging_strike_blocked,,,,,R,R,,,,,,490099.068.0,0,0,0,0,SL,Slider,S
720955,2017-04-02,490099.0,68.0,4.0,1.0,2.0,SL,Slider,X,82.2,14.0,force_out,hit_into_play,ground_ball,30.0,71.4,1.0,R,R,0.147,0.136,0.0,1.0,0.0,490099.068.0,0,0,0,0,SL,Slider,S
720951,2017-04-02,490099.0,70.0,1.0,0.0,0.0,FF,4-Seam Fastball,S,89.4,12.0,,called_strike,,,,,R,R,,,,,,490099.070.0,0,0,0,0,,,
720950,2017-04-02,490099.0,70.0,2.0,0.0,1.0,FC,Cutter,B,85.8,14.0,,ball,,,,,R,R,,,,,,490099.070.0,0,0,0,0,FF,4-Seam Fastball,S
720949,2017-04-02,490099.0,70.0,3.0,1.0,1.0,FF,4-Seam Fastball,B,90.1,14.0,,ball,,,,,R,R,,,,,,490099.070.0,0,0,0,0,FC,Cutter,B
720948,2017-04-02,490099.0,70.0,4.0,2.0,1.0,SL,Slider,B,79.8,14.0,,ball,,,,,R,R,,,,,,490099.070.0,0,0,0,0,FF,4-Seam Fastball,B
720947,2017-04-02,490099.0,70.0,5.0,3.0,1.0,FF,4-Seam Fastball,S,88.9,1.0,,swinging_strike,,,,,R,R,,,,,,490099.070.0,0,0,0,0,SL,Slider,B
720946,2017-04-02,490099.0,70.0,6.0,3.0,2.0,FF,4-Seam Fastball,S,89.6,5.0,strikeout,swinging_strike,,,,,R,R,,,0.0,1.0,0.0,490099.070.0,0,0,0,0,FF,4-Seam Fastball,S
720945,2017-04-02,490099.0,71.0,1.0,0.0,0.0,FF,4-Seam Fastball,S,90.0,4.0,,called_strike,,,,,L,R,,,,,,490099.071.0,0,0,0,0,,,
720944,2017-04-02,490099.0,71.0,2.0,0.0,1.0,FF,4-Seam Fastball,S,91.1,4.0,,called_strike,,,,,L,R,,,,,,490099.071.0,0,0,0,0,FF,4-Seam Fastball,S
720943,2017-04-02,490099.0,71.0,3.0,0.0,2.0,FC,Cutter,B,84.8,14.0,,blocked_ball,,,,,L,R,,,,,,490099.071.0,0,0,0,0,FF,4-Seam Fastball,S
720942,2017-04-02,490099.0,71.0,4.0,1.0,2.0,FC,Cutter,B,84.7,14.0,,ball,,,,,L,R,,,,,,490099.071.0,0,0,0,0,FC,Cutter,B
720941,2017-04-02,490099.0,71.0,5.0,2.0,2.0,FF,4-Seam Fastball,X,90.1,5.0,single,hit_into_play,ground_ball,,90.3,-17.0,L,R,0.187,0.197,0.9,1.0,1.0,490099.071.0,0,0,0,0,FC,Cutter,B
720940,2017-04-02,490099.0,72.0,1.0,0.0,0.0,FC,Cutter,S,83.9,9.0,,called_strike,,,,,R,R,,,,,,490099.072.0,0,0,0,0,,,
720939,2017-04-02,490099.0,72.0,2.0,0.0,1.0,FF,4-Seam Fastball,S,91.4,14.0,,swinging_strike,,,,,R,R,,,,,,490099.072.0,0,0,0,0,FC,Cutter,S
720938,2017-04-02,490099.0,72.0,3.0,0.0,2.0,FF,4-Seam Fastball,B,90.5,12.0,,ball,,,,,R,R,,,,,,490099.072.0,0,0,0,0,FF,4-Seam Fastball,S
720937,2017-04-02,490099.0,72.0,4.0,1.0,2.0,FC,Cutter,X,82.8,8.0,home_run,hit_into_play,fly_ball,414.0,106.2,27.0,R,R,0.953,1.835,2.0,1.0,0.0,490099.072.0,0,0,0,0,FF,4-Seam Fastball,B
720936,2017-04-02,490099.0,73.0,1.0,0.0,0.0,FF,4-Seam Fastball,S,90.3,4.0,,called_strike,,,,,L,R,,,,,,490099.073.0,0,0,0,0,,,
720935,2017-04-02,490099.0,73.0,2.0,0.0,1.0,FC,Cutter,S,81.6,9.0,,swinging_strike,,,,,L,R,,,,,,490099.073.0,0,0,0,0,FF,4-Seam Fastball,S
720934,2017-04-02,490099.0,73.0,3.0,0.0,2.0,FF,4-Seam Fastball,S,90.6,4.0,,foul,,4.0,80.5,-28.0,L,R,,,,,,490099.073.0,0,0,0,0,FC,Cutter,S
720933,2017-04-02,490099.0,73.0,4.0,0.0,2.0,CH,Changeup,S,83.5,13.0,strikeout,foul_tip,,,,,L,R,,,0.0,1.0,0.0,490099.073.0,0,0,0,0,FF,4-Seam Fastball,S
720932,2017-04-02,490099.0,74.0,1.0,0.0,0.0,FF,4-Seam Fastball,B,91.3,14.0,,ball,,,,,R,R,,,,,,490099.074.0,0,0,0,0,,,
720931,2017-04-02,490099.0,74.0,2.0,1.0,0.0,FC,Cutter,X,84.7,8.0,field_out,hit_into_play,popup,147.0,89.9,65.0,R,R,0.027,0.034,0.0,1.0,0.0,490099.074.0,0,0,0,0,FF,4-Seam Fastball,B
720930,2017-04-02,490099.0,75.0,1.0,0.0,0.0,CU,Curveball,B,75.7,13.0,,ball,,,,,L,L,,,,,,490099.075.0,0,0,0,0,,,
720929,2017-04-02,490099.0,75.0,2.0,1.0,0.0,FF,4-Seam Fastball,S,93.3,13.0,,called_strike,,,,,L,L,,,,,,490099.075.0,0,0,0,0,CU,Curveball,B
720928,2017-04-02,490099.0,75.0,3.0,1.0,1.0,CU,Curveball,B,77.1,14.0,,ball,,,,,L,L,,,,,,490099.075.0,0,0,0,0,FF,4-Seam Fastball,S
720927,2017-04-02,490099.0,75.0,4.0,2.0,1.0,FF,4-Seam Fastball,B,93.0,13.0,,ball,,,,,L,L,,,,,,490099.075.0,0,0,0,0,CU,Curveball,B
720926,2017-04-02,490099.0,75.0,5.0,3.0,1.0,FF,4-Seam Fastball,S,93.2,4.0,,called_strike,,,,,L,L,,,,,,490099.075.0,0,0,0,0,FF,4-Seam Fastball,B
720925,2017-04-02,490099.0,75.0,6.0,3.0,2.0,FF,4-Seam Fastball,X,93.1,7.0,field_out,hit_into_play,fly_ball,261.0,81.9,44.0,L,L,0.007,0.006,0.0,1.0,0.0,490099.075.0,0,0,0,0,FF,4-Seam Fastball,S
720924,2017-04-02,490099.0,76.0,1.0,0.0,0.0,FF,4-Seam Fastball,S,94.0,9.0,,called_strike,,,,,R,L,,,,,,490099.076.0,0,0,0,0,,,
720923,2017-04-02,490099.0,76.0,2.0,0.0,1.0,CU,Curveball,B,77.3,12.0,,ball,,,,,R,L,,,,,,490099.076.0,0,0,0,0,FF,4-Seam Fastball,S
720922,2017-04-02,490099.0,76.0,3.0,1.0,1.0,CH,Changeup,B,84.7,14.0,,ball,,,,,R,L,,,,,,490099.076.0,0,0,0,0,CU,Curveball,B
720921,2017-04-02,490099.0,76.0,4.0,2.0,1.0,CH,Changeup,X,84.4,9.0,double,hit_into_play,line_drive,395.0,104.7,25.0,R,L,0.973,1.855,1.25,1.0,1.0,490099.076.0,0,0,0,0,CH,Changeup,B
720920,2017-04-02,490099.0,78.0,1.0,0.0,0.0,CU,Curveball,B,74.5,13.0,,blocked_ball,,,,,R,L,,,,,,490099.078.0,0,0,0,0,,,
720919,2017-04-02,490099.0,78.0,2.0,1.0,0.0,CU,Curveball,S,74.4,9.0,,called_strike,,,,,R,L,,,,,,490099.078.0,0,0,0,0,CU,Curveball,B
720918,2017-04-02,490099.0,78.0,3.0,1.0,1.0,CU,Curveball,S,74.4,11.0,,foul,,4.0,53.2,-29.0,R,L,,,,,,490099.078.0,0,0,0,0,CU,Curveball,S
720917,2017-04-02,490099.0,78.0,4.0,1.0,2.0,CU,Curveball,B,77.7,14.0,,ball,,,,,R,L,,,,,,490099.078.0,0,0,0,0,CU,Curveball,S
720916,2017-04-02,490099.0,78.0,5.0,2.0,2.0,FF,4-Seam Fastball,S,93.0,14.0,strikeout,called_strike,,,,,R,L,,,0.0,1.0,0.0,490099.078.0,0,0,0,0,CU,Curveball,B
720915,2017-04-02,490099.0,79.0,1.0,0.0,0.0,CU,Curveball,B,76.4,12.0,,ball,,,,,L,L,,,,,,490099.079.0,0,0,0,0,,,
720914,2017-04-02,490099.0,79.0,2.0,1.0,0.0,CU,Curveball,B,75.7,7.0,,ball,,,,,L,L,,,,,,490099.079.0,0,0,0,0,CU,Curveball,B
720913,2017-04-02,490099.0,79.0,3.0,2.0,0.0,FF,4-Seam Fastball,B,93.3,14.0,,ball,,,,,L,L,,,,,,490099.079.0,0,0,0,0,CU,Curveball,B
720912,2017-04-02,490099.0,79.0,4.0,3.0,0.0,FF,4-Seam Fastball,S,92.9,7.0,,called_strike,,,,,L,L,,,,,,490099.079.0,0,0,0,0,FF,4-Seam Fastball,B
720911,2017-04-02,490099.0,79.0,5.0,3.0,1.0,FF,4-Seam Fastball,S,92.6,14.0,,foul,,,,,L,L,,,,,,490099.079.0,0,0,0,0,FF,4-Seam Fastball,S
720910,2017-04-02,490099.0,79.0,6.0,3.0,2.0,CU,Curveball,B,77.1,13.0,walk,blocked_ball,,,,,L,L,,,0.7,1.0,0.0,490099.079.0,0,0,0,0,FF,4-Seam Fastball,S
720909,2017-04-02,490099.0,80.0,1.0,0.0,0.0,CU,Curveball,S,76.1,14.0,,called_strike,,,,,R,L,,,,,,490099.080.0,0,0,0,0,,,
720908,2017-04-02,490099.0,80.0,2.0,0.0,1.0,CU,Curveball,B,78.9,14.0,,ball,,,,,R,L,,,,,,490099.080.0,0,0,0,0,CU,Curveball,S
720907,2017-04-02,490099.0,80.0,3.0,1.0,1.0,FF,4-Seam Fastball,X,92.8,4.0,single,hit_into_play,line_drive,388.0,109.3,18.0,R,L,0.833,1.272,0.9,1.0,1.0,490099.080.0,0,0,0,0,CU,Curveball,B
720906,2017-04-02,490106.0,1.0,1.0,0.0,0.0,FF,4-Seam Fastball,B,91.3,14.0,,ball,,,,,L,R,,,,,,490106.01.0,0,0,0,0,,,
720905,2017-04-02,490106.0,1.0,2.0,1.0,0.0,FF,4-Seam Fastball,S,91.4,2.0,,called_strike,,,,,L,R,,,,,,490106.01.0,0,0,0,0,FF,4-Seam Fastball,B
720904,2017-04-02,490106.0,1.0,3.0,1.0,1.0,FF,4-Seam Fastball,B,91.8,11.0,,ball,,,,,L,R,,,,,,490106.01.0,0,0,0,0,FF,4-Seam Fastball,S
720903,2017-04-02,490106.0,1.0,4.0,2.0,1.0,FF,4-Seam Fastball,S,91.4,1.0,,called_strike,,,,,L,R,,,,,,490106.01.0,0,0,0,0,FF,4-Seam Fastball,B
720902,2017-04-02,490106.0,1.0,5.0,2.0,2.0,SL,Slider,S,86.5,9.0,,foul,,113.0,100.9,5.0,L,R,,,,,,490106.01.0,0,0,0,0,FF,4-Seam Fastball,S
720901,2017-04-02,490106.0,1.0,6.0,2.0,2.0,SL,Slider,X,86.6,8.0,field_out,hit_into_play,fly_ball,236.0,76.2,38.0,L,R,0.047,0.042,0.0,1.0,0.0,490106.01.0,0,0,0,0,SL,Slider,S
720900,2017-04-02,490106.0,2.0,1.0,0.0,0.0,FF,4-Seam Fastball,X,93.7,8.0,field_out,hit_into_play,ground_ball,33.0,115.7,-1.0,R,R,0.54,0.486,0.0,1.0,0.0,490106.02.0,0,0,0,0,,,
720899,2017-04-02,490106.0,3.0,1.0,0.0,0.0,FF,4-Seam Fastball,S,93.3,7.0,,called_strike,,,,,L,R,,,,,,490106.03.0,0,0,0,0,,,
720898,2017-04-02,490106.0,3.0,2.0,0.0,1.0,CH,Changeup,B,88.4,13.0,,ball,,,,,L,R,,,,,,490106.03.0,0,0,0,0,FF,4-Seam Fastball,S
720897,2017-04-02,490106.0,3.0,3.0,1.0,1.0,CH,Changeup,B,86.3,14.0,,ball,,,,,L,R,,,,,,490106.03.0,0,0,0,0,CH,Changeup,B
720896,2017-04-02,490106.0,3.0,4.0,2.0,1.0,FF,4-Seam Fastball,B,93.7,11.0,,ball,,,,,L,R,,,,,,490106.03.0,0,0,0,0,CH,Changeup,B
720895,2017-04-02,490106.0,3.0,5.0,3.0,1.0,FF,4-Seam Fastball,B,93.5,1.0,walk,ball,,,,,L,R,,,0.7,1.0,0.0,490106.03.0,0,0,0,0,FF,4-Seam Fastball,B
720894,2017-04-02,490106.0,4.0,1.0,0.0,0.0,FF,4-Seam Fastball,B,92.8,3.0,,ball,,,,,R,R,,,,,,490106.04.0,0,0,0,0,,,
720893,2017-04-02,490106.0,4.0,2.0,1.0,0.0,SL,Slider,S,85.8,14.0,,called_strike,,,,,R,R,,,,,,490106.04.0,0,0,0,0,FF,4-Seam Fastball,B
720892,2017-04-02,490106.0,4.0,3.0,1.0,1.0,FF,4-Seam Fastball,B,94.0,1.0,,ball,,,,,R,R,,,,,,490106.04.0,0,0,0,0,SL,Slider,S
720891,2017-04-02,490106.0,4.0,4.0,2.0,1.0,FF,4-Seam Fastball,B,93.3,14.0,,ball,,,,,R,R,,,,,,490106.04.0,0,0,0,0,FF,4-Seam Fastball,B
720890,2017-04-02,490106.0,4.0,5.0,3.0,1.0,SL,Slider,X,86.4,14.0,field_out,hit_into_play,ground_ball,2.0,49.8,-46.0,R,R,0.173,0.165,0.0,1.0,0.0,490106.04.0,0,0,0,0,FF,4-Seam Fastball,B
720889,2017-04-02,490106.0,5.0,1.0,0.0,0.0,SI,Sinker,S,89.5,8.0,,called_strike,,,,,L,R,,,,,,490106.05.0,0,0,0,0,,,
720888,2017-04-02,490106.0,5.0,2.0,0.0,1.0,FS,Split-Finger,X,85.7,13.0,single,hit_into_play,line_drive,221.0,105.6,11.0,L,R,0.893,0.863,0.9,1.0,1.0,490106.05.0,0,0,0,0,SI,Sinker,S
720887,2017-04-02,490106.0,6.0,1.0,0.0,0.0,SI,Sinker,B,89.0,14.0,,ball,,,,,L,R,,,,,,490106.06.0,0,0,0,0,,,
720886,2017-04-02,490106.0,6.0,2.0,1.0,0.0,SL,Slider,B,79.7,14.0,,ball,,,,,L,R,,,,,,490106.06.0,0,0,0,0,SI,Sinker,B
720885,2017-04-02,490106.0,6.0,3.0,2.0,0.0,SI,Sinker,S,88.5,13.0,,foul,,,,,L,R,,,,,,490106.06.0,0,0,0,0,SL,Slider,B
720884,2017-04-02,490106.0,6.0,4.0,2.0,1.0,SI,Sinker,X,89.4,8.0,double,hit_into_play,line_drive,249.0,105.6,11.0,L,R,0.893,0.863,1.25,1.0,1.0,490106.06.0,0,0,0,0,SI,Sinker,S
720883,2017-04-02,490106.0,7.0,1.0,0.0,0.0,SL,Slider,S,84.4,14.0,,swinging_strike,,,,,R,R,,,,,,490106.07.0,0,0,0,0,,,
720882,2017-04-02,490106.0,7.0,2.0,0.0,1.0,FS,Split-Finger,X,84.8,9.0,sac_fly,hit_into_play,fly_ball,281.0,85.6,38.0,R,R,0.013,0.015,0.0,1.0,0.0,490106.07.0,0,0,0,0,SL,Slider,S
720881,2017-04-02,490106.0,8.0,1.0,0.0,0.0,FS,Split-Finger,B,86.0,14.0,,blocked_ball,,,,,L,R,,,,,,490106.08.0,0,0,0,0,,,
720880,2017-04-02,490106.0,8.0,2.0,1.0,0.0,SI,Sinker,B,90.2,13.0,,ball,,,,,L,R,,,,,,490106.08.0,0,0,0,0,FS,Split-Finger,B
720879,2017-04-02,490106.0,8.0,3.0,2.0,0.0,FS,Split-Finger,X,86.8,13.0,single,hit_into_play,ground_ball,68.0,87.4,4.0,L,R,0.453,0.44,0.9,1.0,1.0,490106.08.0,0,0,0,0,SI,Sinker,B
720878,2017-04-02,490106.0,9.0,1.0,0.0,0.0,SL,Slider,B,83.3,14.0,,blocked_ball,,,,,R,R,,,,,,490106.09.0,0,0,0,0,,,
720877,2017-04-02,490106.0,9.0,2.0,1.0,0.0,FF,4-Seam Fastball,B,89.8,14.0,,blocked_ball,,,,,R,R,,,,,,490106.09.0,0,0,0,0,SL,Slider,B
720876,2017-04-02,490106.0,9.0,3.0,2.0,0.0,SL,Slider,B,83.9,14.0,,ball,,,,,R,R,,,,,,490106.09.0,0,0,0,0,FF,4-Seam Fastball,B
720875,2017-04-02,490106.0,9.0,4.0,3.0,0.0,SI,Sinker,B,91.0,14.0,walk,ball,,,,,R,R,,,0.7,1.0,0.0,490106.09.0,0,0,0,0,SL,Slider,B
720874,2017-04-02,490106.0,10.0,1.0,0.0,0.0,FS,Split-Finger,S,87.5,13.0,,swinging_strike_blocked,,,,,L,R,,,,,,490106.010.0,0,0,0,0,,,
720873,2017-04-02,490106.0,10.0,2.0,0.0,1.0,FS,Split-Finger,X,88.5,13.0,single,hit_into_play,ground_ball,70.0,102.3,1.0,L,R,0.453,0.419,0.9,1.0,1.0,490106.010.0,0,0,0,0,FS,Split-Finger,S
720872,2017-04-02,490106.0,11.0,1.0,0.0,0.0,SI,Sinker,S,90.3,5.0,,called_strike,,,,,R,R,,,,,,490106.011.0,0,0,0,0,,,
720871,2017-04-02,490106.0,11.0,2.0,0.0,1.0,FS,Split-Finger,S,85.1,8.0,,swinging_strike,,,,,R,R,,,,,,490106.011.0,0,0,0,0,SI,Sinker,S
720870,2017-04-02,490106.0,11.0,3.0,0.0,2.0,SI,Sinker,X,90.7,4.0,field_out,hit_into_play,line_drive,290.0,86.8,21.0,R,R,0.333,0.345,0.0,1.0,0.0,490106.011.0,0,0,0,0,FS,Split-Finger,S
720869,2017-04-02,490106.0,12.0,1.0,0.0,0.0,SI,Sinker,S,89.7,7.0,,swinging_strike,,,,,L,R,,,,,,490106.012.0,0,0,0,0,,,
720868,2017-04-02,490106.0,12.0,2.0,0.0,1.0,FS,Split-Finger,S,85.8,14.0,,swinging_strike,,,,,L,R,,,,,,490106.012.0,0,0,0,0,SI,Sinker,S
720867,2017-04-02,490106.0,12.0,3.0,0.0,2.0,FS,Split-Finger,S,85.6,13.0,strikeout,swinging_strike,,,,,L,R,,,0.0,1.0,0.0,490106.012.0,0,0,0,0,FS,Split-Finger,S
720866,2017-04-02,490106.0,13.0,1.0,0.0,0.0,FF,4-Seam Fastball,S,91.9,4.0,,called_strike,,,,,L,R,,,,,,490106.013.0,0,0,0,0,,,
720865,2017-04-02,490106.0,13.0,2.0,0.0,1.0,CH,Changeup,S,84.5,7.0,,foul,,154.0,74.0,15.0,L,R,,,,,,490106.013.0,0,0,0,0,FF,4-Seam Fastball,S
720864,2017-04-02,490106.0,13.0,3.0,0.0,2.0,FF,4-Seam Fastball,B,92.4,11.0,,ball,,,,,L,R,,,,,,490106.013.0,0,0,0,0,CH,Changeup,S
720863,2017-04-02,490106.0,13.0,4.0,1.0,2.0,FF,4-Seam Fastball,X,94.0,4.0,field_out,hit_into_play,fly_ball,230.0,74.3,42.0,L,R,0.147,0.143,0.0,1.0,0.0,490106.013.0,0,0,0,0,FF,4-Seam Fastball,B
720862,2017-04-02,490106.0,14.0,1.0,0.0,0.0,SL,Slider,S,84.0,6.0,,called_strike,,,,,R,R,,,,,,490106.014.0,0,0,0,0,,,
720861,2017-04-02,490106.0,14.0,2.0,0.0,1.0,SL,Slider,S,85.5,14.0,,swinging_strike,,,,,R,R,,,,,,490106.014.0,0,0,0,0,SL,Slider,S
720860,2017-04-02,490106.0,14.0,3.0,0.0,2.0,FF,4-Seam Fastball,B,94.7,1.0,,ball,,,,,R,R,,,,,,490106.014.0,0,0,0,0,SL,Slider,S
720859,2017-04-02,490106.0,14.0,4.0,1.0,2.0,FF,4-Seam Fastball,X,94.4,14.0,single,hit_into_play,ground_ball,38.0,107.2,-2.0,R,R,0.507,0.464,0.9,1.0,1.0,490106.014.0,0,0,0,0,FF,4-Seam Fastball,B
720858,2017-04-02,490106.0,15.0,1.0,0.0,0.0,FF,4-Seam Fastball,B,90.6,14.0,,ball,,,,,L,R,,,,,,490106.015.0,0,0,0,0,,,
720857,2017-04-02,490106.0,15.0,2.0,1.0,0.0,CH,Changeup,S,82.2,3.0,,called_strike,,,,,L,R,,,,,,490106.015.0,0,0,0,0,FF,4-Seam Fastball,B
720856,2017-04-02,490106.0,15.0,3.0,1.0,1.0,CH,Changeup,S,83.5,7.0,,swinging_strike,,,,,L,R,,,,,,490106.015.0,0,0,0,0,CH,Changeup,S
720855,2017-04-02,490106.0,15.0,4.0,1.0,2.0,FF,4-Seam Fastball,S,92.7,7.0,,foul,,240.0,80.4,42.0,L,R,,,,,,490106.015.0,0,0,0,0,CH,Changeup,S
720854,2017-04-02,490106.0,15.0,5.0,1.0,2.0,SL,Slider,B,87.6,13.0,,blocked_ball,,,,,L,R,,,,,,490106.015.0,0,0,0,0,FF,4-Seam Fastball,S
720853,2017-04-02,490106.0,15.0,6.0,2.0,2.0,SL,Slider,X,86.3,6.0,single,hit_into_play,ground_ball,62.0,71.2,4.0,L,R,0.24,0.249,0.9,1.0,1.0,490106.015.0,0,0,0,0,SL,Slider,B
