,index,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
18,3688,KC,2017-06-27,83.5,-1.51,5.57,"Allen, Cody",462101.0,592102.0,,called_strike,,,,,9.0,Elvis Andrus lines out to center fielder Bradley Zimmer.,R,R,R,CLE,TEX,S,,,0.0,0.0,2017.0,1.33,-0.64,0.53,1.97,,,,1.0,9.0,Top,,,,,543228.0,,,2.15153019455206,-121.358688490189,-0.623773045375904,12.234181054652,24.9187268542952,-38.4231907607443,3.47,1.47,,,,82.1,2530.0,5.5,491264.0,592102.0,543228.0,467793.0,543401.0,608070.0,596019.0,488726.0,605548.0,502082.0,55.01,,,,,,,,58.0,1.0,Knuckle Curve,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Standard,Standard,59.0,0.0,-0.026
19,3830,FF,2017-06-27,94.8,-1.49,5.72,"Allen, Cody",425783.0,592102.0,strikeout,called_strike,,,,,6.0,Shin-Soo Choo called out on strikes.,R,L,R,CLE,TEX,S,2.0,,3.0,2.0,2017.0,-0.89,1.6,0.79,2.13,,,,0.0,9.0,Top,,,,,543228.0,,,7.93707148705977,-137.425292055862,-7.25742633568372,-13.1067206007693,29.5332654442338,-10.3724639998163,3.36,1.46,,,,94.9,2445.0,6.5,491264.0,592102.0,543228.0,467793.0,543401.0,608070.0,596019.0,488726.0,605548.0,502082.0,54.04,,,0.0,1.0,0.0,0.0,,57.0,6.0,4-Seam Fastball,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Standard,Standard,211.0,0.058,-0.322
20,3940,KC,2017-06-27,83.5,-1.57,5.64,"Allen, Cody",425783.0,592102.0,,ball,,,,,11.0,Shin-Soo Choo called out on strikes.,R,L,R,CLE,TEX,B,,,2.0,2.0,2017.0,1.12,-0.6,-1.11,3.44,,,,0.0,9.0,Top,,,,,543228.0,,,-1.08281350874285,-121.231287583775,2.52569000982451,11.0447838875172,24.6684543913326,-38.7669014257543,3.34,1.48,,,,82.4,2605.0,5.8,491264.0,592102.0,543228.0,467793.0,543401.0,608070.0,596019.0,488726.0,605548.0,502082.0,54.75,,,,,,,,57.0,5.0,Knuckle Curve,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Standard,Standard,56.0,0.0,0.106
21,4101,FF,2017-06-27,94.3,-1.57,5.74,"Allen, Cody",425783.0,592102.0,,ball,,,,,12.0,Shin-Soo Choo called out on strikes.,R,L,R,CLE,TEX,B,,,1.0,2.0,2017.0,-0.79,1.47,0.44,4.47,,,,0.0,9.0,Top,,,,,543228.0,,,7.00538039715833,-137.011494143376,-0.847447713054669,-11.5672101163724,29.8023914855555,-13.6181919896389,3.37,1.44,,,,94.6,2377.0,6.5,491264.0,592102.0,543228.0,467793.0,543401.0,608070.0,596019.0,488726.0,605548.0,502082.0,54.02,,,,,,,,57.0,4.0,4-Seam Fastball,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Standard,Standard,210.0,0.0,0.043
22,4166,KC,2017-06-27,84.6,-1.62,5.65,"Allen, Cody",425783.0,592102.0,,ball,,,,,14.0,Shin-Soo Choo called out on strikes.,R,L,R,CLE,TEX,B,,,0.0,2.0,2017.0,1.51,-0.3,1.5,0.7,,,,0.0,9.0,Top,,,,,543228.0,,,4.29684327463168,-122.909626838323,-4.5432391632859,14.0345014326814,25.2587620535991,-34.4278336782495,3.38,1.46,,,,83.5,2706.0,5.7,491264.0,592102.0,543228.0,467793.0,543401.0,608070.0,596019.0,488726.0,605548.0,502082.0,54.78,,,,,,,,57.0,3.0,Knuckle Curve,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Standard,Standard,74.0,0.0,0.021
23,4363,KC,2017-06-27,83.5,-1.6,5.72,"Allen, Cody",425783.0,592102.0,,foul,,,,,5.0,Shin-Soo Choo called out on strikes.,R,L,R,CLE,TEX,S,,,0.0,1.0,2017.0,0.74,-1.02,-0.01,2.18,,,,0.0,9.0,Top,,,,,543228.0,,,2.22065547709959,-121.288334474492,0.284872500457257,6.63050457214096,25.4750249342631,-42.2498765240559,3.06,1.33,,,,82.3,2595.0,5.7,491264.0,592102.0,543228.0,467793.0,543401.0,608070.0,596019.0,488726.0,605548.0,502082.0,54.77,,,,,,,,57.0,2.0,Knuckle Curve,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Standard,Standard,32.0,0.0,-0.056
24,4391,KC,2017-06-27,83.3,-1.61,5.67,"Allen, Cody",425783.0,592102.0,,called_strike,,,,,4.0,Shin-Soo Choo called out on strikes.,R,L,R,CLE,TEX,S,,,0.0,0.0,2017.0,1.0,-0.88,-0.75,2.3,,,,0.0,9.0,Top,,,,,543228.0,,,0.0718238534890805,-120.93057518955,0.435118258749758,9.44160164382787,25.801418690471,-40.9119350163487,3.37,1.42,,,,81.7,2584.0,5.6,491264.0,592102.0,543228.0,467793.0,543401.0,608070.0,596019.0,488726.0,605548.0,502082.0,54.93,,,,,,,,57.0,1.0,Knuckle Curve,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Standard,Standard,44.0,0.0,-0.037
25,2996,FF,2017-06-27,96.0,-1.73,6.52,"Kela, Keone",543401.0,605309.0,field_out,hit_into_play,,,,,4.0,Jason Kipnis lines out to center fielder Delino DeShields.,R,L,R,CLE,TEX,X,8.0,line_drive,0.0,1.0,2017.0,-0.46,1.77,-0.78,2.27,,467793.0,,2.0,8.0,Bot,,,,,455139.0,,,3.56265264972046,-139.187317069803,-9.61021462781464,-6.87707252591814,33.9172972248489,-7.00627420309135,3.13,1.33,279.0,87.6,20.0,95.7,2238.0,6.5,491264.0,605309.0,455139.0,608336.0,596059.0,134181.0,462101.0,608577.0,592261.0,425783.0,53.98,0.32,0.341,0.0,1.0,0.0,0.0,4.0,56.0,2.0,4-Seam Fastball,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Standard,Standard,196.0,-0.081,-0.279
26,3162,CU,2017-06-27,80.4,-1.99,6.33,"Kela, Keone",543401.0,605309.0,,called_strike,,,,,1.0,Jason Kipnis lines out to center fielder Delino DeShields.,R,L,R,CLE,TEX,S,,,0.0,0.0,2017.0,0.34,-0.24,-0.4,3.05,,467793.0,,2.0,8.0,Bot,,,,,455139.0,,,2.85447268053282,-116.75196628196,-0.0780770681201756,2.47707232676814,23.5112419052543,-34.5677817353035,3.22,1.4,,,,79.5,2339.0,5.9,491264.0,605309.0,455139.0,608336.0,596059.0,134181.0,462101.0,608577.0,592261.0,425783.0,54.58,,,,,,,,56.0,1.0,Curveball,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Standard,Standard,39.0,0.0,-0.046
27,3187,FF,2017-06-27,93.3,-1.54,6.61,"Kela, Keone",543228.0,605309.0,field_out,hit_into_play,,,,,9.0,"Yan Gomes grounds out, third baseman Adrian Beltre to first baseman Joey Gallo.",R,R,R,CLE,TEX,X,5.0,ground_ball,1.0,0.0,2017.0,-0.39,1.58,0.79,1.44,,467793.0,,1.0,8.0,Bot,109.08,171.11,,,455139.0,,,6.82001615158427,-135.088905189619,-10.8924899780608,-6.24119394078484,28.9933807375767,-10.7498024256468,3.14,1.32,93.0,43.4,29.0,93.0,2255.0,6.3,491264.0,605309.0,455139.0,608336.0,596059.0,134181.0,462101.0,608577.0,592261.0,425783.0,54.17,0.073,0.066,0.0,1.0,0.0,0.0,1.0,55.0,2.0,4-Seam Fastball,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Standard,Standard,195.0,-0.072,-0.382
